mes,banco,suma_tasa_credito,total_creditos,registros_fuente,fecha_minima,fecha_maxima,tasa_ponderada
2023-10,MiBanco,276.5,7,7,2023-10-06,2023-10-27,39.5
2023-11,BBVA Colombia,552845.21,17040,6781,2023-11-03,2023-11-24,32.44396772300469
2023-11,Bancien,17340.84,453,334,2023-11-03,2023-11-24,38.28
2023-11,Banco AV Villas,34852.23,1248,900,2023-11-03,2023-11-24,27.92646634615385
2023-11,Banco Agrario,4730.82,164,164,2023-11-03,2023-11-24,28.846463414634144
2023-11,Banco Caja Social,261785.25,7808,5013,2023-11-03,2023-11-24,33.527824026639344
2023-11,Banco Davibank,5833059.74,153475,5260,2023-11-03,2023-11-24,38.00657918227724
2023-11,Banco Davivienda,917594.3,29078,10815,2023-11-03,2023-11-24,31.556307173808378
2023-11,Banco Falabella,614575.41,17068,5658,2023-11-03,2023-11-24,36.00746484649637
2023-11,Banco GNB Sudameris,101.22,4,4,2023-11-03,2023-11-24,25.305
2023-11,Banco Mundo Mujer,215772.78,5642,3527,2023-11-03,2023-11-24,38.24402339595888
2023-11,Banco Pichincha,603.36,23,22,2023-11-03,2023-11-24,26.23304347826087
2023-11,Banco Popular,11896.21,390,293,2023-11-03,2023-11-24,30.503102564102562
2023-11,Banco Serfinanza,18270.3,802,589,2023-11-03,2023-11-24,22.78092269326683
2023-11,Banco Unión,364.62,10,10,2023-11-03,2023-11-24,36.462
2023-11,Banco de Bogotá,918090.78,26359,11413,2023-11-03,2023-11-24,34.83025835577981
2023-11,Banco de Occidente,104129.86,3500,1697,2023-11-03,2023-11-24,29.75138857142857
2023-11,Bancolombia,875211.75,26574,10125,2023-11-03,2023-11-24,32.93488936554527
2023-11,Bancoomeva,37447.21,1281,1069,2023-11-03,2023-11-24,29.23279469164715
2023-11,Coopcentral,462.2,20,20,2023-11-03,2023-11-24,23.11
2023-11,Finandina,14557.27,450,369,2023-11-03,2023-11-24,32.34948888888889
2023-11,Itaú,27694.45,1071,609,2023-11-03,2023-11-24,25.858496732026143
2023-11,Lulo Bank,52836.36,1723,980,2023-11-03,2023-11-24,30.66532791642484
2023-11,MiBanco,189.89999999999998,5,5,2023-11-03,2023-11-24,37.98
2023-12,BBVA Colombia,476056.51,14883,6710,2023-12-01,2023-12-29,31.986596116374386
2023-12,Bancien,19493.64,520,411,2023-12-01,2023-12-29,37.48776923076923
2023-12,Banco AV Villas,37329.85,1304,981,2023-12-01,2023-12-29,28.627185582822086
2023-12,Banco Agrario,7607.12,261,261,2023-12-01,2023-12-29,29.14605363984674
2023-12,Banco Caja Social,230432.39,6815,4846,2023-12-01,2023-12-29,33.812529713866475
2023-12,Banco Davibank,7019105.3,188093,6396,2023-12-01,2023-12-29,37.317206381949354
2023-12,Banco Davivienda,853472.3,27573,10847,2023-12-01,2023-12-29,30.953189714575856
2023-12,Banco Falabella,301750.31,8976,4129,2023-12-01,2023-12-29,33.61745877896613
2023-12,Banco GNB Sudameris,93.97,4,4,2023-12-01,2023-12-29,23.4925
2023-12,Banco Mundo Mujer,269801.31,7194,4344,2023-12-01,2023-12-29,37.50365721434529
2023-12,Banco Pichincha,1436.91,76,67,2023-12-01,2023-12-29,18.90671052631579
2023-12,Banco Popular,11035.25,358,261,2023-12-01,2023-12-29,30.824720670391063
2023-12,Banco Serfinanza,24494.0,1044,642,2023-12-01,2023-12-29,23.461685823754788
2023-12,Banco Unión,591.33,16,14,2023-12-01,2023-12-29,36.958125
2023-12,Banco de Bogotá,1097272.52,32032,13496,2023-12-01,2023-12-29,34.25551073926074
2023-12,Banco de Occidente,108122.11,3713,1817,2023-12-01,2023-12-29,29.119878804201456
2023-12,Bancolombia,917238.27,28896,11400,2023-12-01,2023-12-29,31.742741901993355
2023-12,Bancoomeva,36258.99,1264,1103,2023-12-01,2023-12-29,28.68590981012658
2023-12,Coopcentral,672.7,30,30,2023-12-01,2023-12-29,22.423333333333336
2023-12,Finandina,16280.6,521,435,2023-12-01,2023-12-29,31.248752399232245
2023-12,Itaú,43441.88,1654,894,2023-12-01,2023-12-29,26.264740024183794
2023-12,Lulo Bank,51568.18,1818,1130,2023-12-01,2023-12-29,28.365335533553356
2023-12,MiBanco,75.12,2,2,2023-12-01,2023-12-01,37.56
2024-01,BBVA Colombia,132997.21,4297,2481,2024-01-05,2024-01-26,30.95117756574354
2024-01,Bancien,14516.699999999999,415,298,2024-01-05,2024-01-26,34.98
2024-01,Banco AV Villas,22486.16,848,653,2024-01-05,2024-01-26,26.516698113207546
2024-01,Banco Agrario,4418.16,158,157,2024-01-05,2024-01-26,27.963037974683544
2024-01,Banco Caja Social,132252.0,4071,2934,2024-01-05,2024-01-26,32.48636698599853
2024-01,Banco Davibank,197109.71,6619,2407,2024-01-05,2024-01-26,29.77937906028101
2024-01,Banco Davivienda,673180.53,22469,8195,2024-01-05,2024-01-26,29.96041345854288
2024-01,Banco Falabella,168606.82,5089,2015,2024-01-05,2024-01-26,33.13162114364315
2024-01,Banco GNB Sudameris,98.12,4,4,2024-01-26,2024-01-26,24.53
2024-01,Banco Mundo Mujer,199065.62,5709,3547,2024-01-05,2024-01-26,34.86873708180067
2024-01,Banco Pichincha,1691.0,89,74,2024-01-05,2024-01-26,19.0
2024-01,Banco Popular,5315.5,169,139,2024-01-05,2024-01-26,31.452662721893493
