number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
36,0.7278738570652887,0.11124050347214585,1.5469208514448227,1.9263801012765085,8.423812615059784,COMPLETE,banco_rango,elasticnet,0.8798233995665604,,,,,,,,,,,,,,
37,-1.1696395372342598,4.520161783628878,4.129870575646902,5.4393955754056185,19.848054464810126,COMPLETE,banco_rango,elasticnet,0.8516244312851741,,,,,,,,,,,,,,
38,0.6467539015602137,1.2024885029897556,1.4822179190110762,2.194802960726358,8.55480859584928,COMPLETE,banco_rango,elasticnet,0.7100180932892799,,,,,,,,,,,,,,
39,0.7580357762481745,0.6232324515829335,1.2543347052729636,1.8164875640439158,7.30136314014206,COMPLETE,banco_rango,elasticnet,0.9188882021687304,,,,,,,,,,,,,,
40,0.6802028597920206,0.07101392636029695,1.7402189195822835,2.088306009929643,9.372781108360758,COMPLETE,banco_rango,elasticnet,0.8173475565268205,,,,,,,,,,,,,,
41,0.7798682955841842,0.3083889674601232,1.2814596623582648,1.73259935574973,7.218397718371672,COMPLETE,banco_rango,elasticnet,0.8861626958610838,,,,,,,,,,,,,,
42,0.04698474289638366,2.2549660400627647,2.608738555368022,3.6050125187583304,13.725014073036416,COMPLETE,banco_rango,elasticnet,0.9002036189389991,,,,,,,,,,,,,,
43,0.7640672227513018,0.1986300168801713,1.373559591716324,1.7937048831225293,7.613861104429017,COMPLETE,banco_rango,elasticnet,0.838814816481887,,,,,,,,,,,,,,
44,0.7824266436471226,0.3128959551512094,1.267900172589001,1.7225018861773893,7.162386779013019,COMPLETE,banco_rango,elasticnet,0.9153110543950856,,,,,,,,,,,,,,
45,0.7595864319774075,0.14470147176137865,1.402598823045546,1.8106576231846099,7.744026844680659,COMPLETE,banco_rango,elasticnet,0.9475511545384709,,,,,,,,,,,,,,
46,0.7077603681548741,0.0010542893478118652,1.553027692568073,1.9963027568194212,8.475047500058638,COMPLETE,banco_rango,elasticnet,0.899677179590391,,,,,,,,,,,,,,
47,0.7726454200421294,0.54082850459368,1.2325647003021893,1.7607946262015093,7.137152663098996,COMPLETE,banco_rango,elasticnet,0.9027772358702613,,,,,,,,,,,,,,
48,0.6222894842749842,0.01598042186693168,1.9449101590556954,2.2695324070795335,10.498856651010136,COMPLETE,banco_rango,elasticnet,0.13835328318411316,,,,,,,,,,,,,,
49,0.5382925456836842,1.3805226009918905,1.7188739203869758,2.50922897373939,9.727257606859606,COMPLETE,banco_rango,elasticnet,0.793598045127772,,,,,,,,,,,,,,
50,0.7785365106252117,0.3192946602505313,1.2855069139262547,1.737832519002357,7.239543946901004,COMPLETE,banco_rango,elasticnet,0.8634353682354017,,,,,,,,,,,,,,
51,0.7803940718024909,0.36132484590284314,1.2671689425033061,1.73052899487608,7.178502808900143,COMPLETE,banco_rango,elasticnet,0.871794033850764,,,,,,,,,,,,,,
