banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base,modelo_recomendado,prediccion_original_tasa_t3,prediccion_recomendada_tasa_t3
Banco Unión,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Unión | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Unión | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,13.0,baseline_tasa_actual,23.357009887695312,25.19
Banco Unión,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Unión | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Unión | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,15.0,baseline_tasa_actual,23.56624984741211,25.19
Banco Unión,1,Menor o igual a 3 SMLMV,Banco Unión | Menor o igual a 3 SMLMV,banco_rango,Banco Unión | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,6.0,baseline_tasa_actual,23.47919654846192,25.19
Banco de Bogotá,6,Mayor a 100 SMLMV,Banco de Bogotá | Mayor a 100 SMLMV,banco_rango,Banco de Bogotá | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,14.955276381909547,14.955276381909547,199.0,baseline_tasa_actual,15.320459365844728,14.955276381909547
Banco de Bogotá,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco de Bogotá | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco de Bogotá | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.822473618870266,22.822473618870266,3222.0,baseline_tasa_actual,21.53919792175293,22.822473618870266
Banco de Bogotá,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco de Bogotá | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco de Bogotá | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,19.42338466923346,19.42338466923346,2857.0,baseline_tasa_actual,18.465723037719727,19.42338466923346
Banco de Bogotá,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco de Bogotá | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco de Bogotá | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.55679511456164,24.55679511456164,10562.0,baseline_tasa_actual,22.738073348999023,24.55679511456164
Banco de Bogotá,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco de Bogotá | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco de Bogotá | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.28933153770813,24.28933153770813,8168.0,baseline_tasa_actual,22.649320602416992,24.28933153770813
Banco de Bogotá,1,Menor o igual a 3 SMLMV,Banco de Bogotá | Menor o igual a 3 SMLMV,banco_rango,Banco de Bogotá | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.74609798728813,24.74609798728813,18880.0,baseline_tasa_actual,23.374561309814453,24.74609798728813
Banco de Occidente,6,Mayor a 100 SMLMV,Banco de Occidente | Mayor a 100 SMLMV,banco_rango,Banco de Occidente | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,19.13691176470588,19.13691176470588,136.0,baseline_tasa_actual,17.986061096191406,19.13691176470588
Banco de Occidente,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco de Occidente | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco de Occidente | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.18447415329768,22.18447415329768,561.0,baseline_tasa_actual,21.128950119018555,22.18447415329768
Banco de Occidente,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco de Occidente | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco de Occidente | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,20.715181660899653,20.715181660899653,1156.0,baseline_tasa_actual,19.48003387451172,20.715181660899653
Banco de Occidente,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco de Occidente | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco de Occidente | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.89511111111112,22.89511111111112,135.0,baseline_tasa_actual,21.5540828704834,22.89511111111112
Banco de Occidente,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco de Occidente | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco de Occidente | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.978525073746315,22.978525073746315,339.0,baseline_tasa_actual,21.5540828704834,22.978525073746315
Banco de Occidente,1,Menor o igual a 3 SMLMV,Banco de Occidente | Menor o igual a 3 SMLMV,banco_rango,Banco de Occidente | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.38394366197183,23.38394366197183,71.0,baseline_tasa_actual,21.64053535461425,23.38394366197183
Bancolombia,6,Mayor a 100 SMLMV,Bancolombia | Mayor a 100 SMLMV,banco_rango,Bancolombia | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,17.543870967741935,17.543870967741935,341.0,baseline_tasa_actual,16.65436553955078,17.543870967741935
